GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,160,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,76,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,76,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,76,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator1.new TypeCreator() {...},0,42,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,76,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
Archives Unleashed Toolkit,io.archivesunleashed.udfs,package..typecreator2.new TypeCreator() {...},0,38,0,0,0,1,0,2,0,2
